RBBfmTmxXmWBRBGEeKe7r0OFENICS;effect on recovery from fast inactivation;effect on recoveri from fast inactiv;effect on recovery from fast inactivation@en-us;Effect on recoveri from fast inactivation@en-us;r b bfm tmx xm w b r b g ee ke7r0 o
RC7JvpnEA0enGEJxIIdz4cFENICS;sever impair or slow in rate of activ (tau activation);r c7 jvpn e a0en g e jx i idz4c;severe impairment or slowing in rate of activation (tau activation)@en-us;Sever impair or slow in rate of activ (tau activation)@en-us;severe impairment or slowing in rate of activation (tau activation)
R8asTBmmgK6PYqOlvlLtgpzFENICS;mild hyperpolarizing shift of voltage dependence of activation (left shift)@en-us;Mild hyperpolar shift of voltag depend of activ (left shift)@en-us;mild hyperpolarizing shift of voltage dependence of activation (left shift);mild hyperpolar shift of voltag depend of activ (left shift);r8as t bmmg k6 p yq olvl ltgpz
R787B5RAMG9oetmadppgGChFENICS;decrease in slope of inactivation@en-us;Decreas in slope of inactivation@en-us;decreas in slope of inactiv;r787 b5 r a m g9oetmadppg g ch;decrease in slope of inactivation
R918FRlaBUyZMXc8koNdkxQFENICS;hyperpolarizing shift of voltage dependence of activation (left shift);hyperpolar shift of voltag depend of activ (left shift);Hyperpolar shift of voltag depend of activ (left shift)@en-us;r918 f rla b uy z m xc8ko ndkx q;hyperpolarizing shift of voltage dependence of activation (left shift)@en-us
R9NOUr9iWj3sPK7GlxuC6dyFENICS;mild increase in peak current@en-us;mild increas in peak current;mild increase in peak current;Mild increas in peak current@en-us;r9 n o ur9i wj3s p k7 glxu c6dy;r9 n o ur9i wj3s p k7 glxu c6di
RBeZ7v8FkpfoCRDKvHZD936FENICS;sever decreas in peak current to reduc traffick due to phosphoryl;r be z7v8 fkpfo c r d kv h z d936;Sever decreas in peak current to reduc traffick due to phosphorylation@en-us;severe decrease in peak current to reduced trafficking due to phosphorylation;severe decrease in peak current to reduced trafficking due to phosphorylation@en-us
RBJ0Krtjy03lvhvCmwvnsjZFENICS;acceler or increas in rate of activ (tau activation);acceleration or increase in rate of activation (tau activation);r b j0 krtjy03lvhv cmwvnsj z;Acceler or increas in rate of activ (tau activation)@en-us;acceleration or increase in rate of activation (tau activation)@en-us
R7eGXoO3n3Sj7LwciFM7iUYFENICS;Increas of subthreshold current@en-us;increase of subthreshold current;increase of subthreshold current@en-us;increas of subthreshold current;r7e g xo o3n3 sj7 lwci f m7i u y
Rl7K1Hgqs34BVxM4PNtn4wFENICS;mild-moderate hyperpolarizing shift of voltage dependence of activation (left shift)@en-us;Mild-moder hyperpolar shift of voltag depend of activ (left shift)@en-us;mild-moderate hyperpolarizing shift of voltage dependence of activation (left shift);mild-moder hyperpolar shift of voltag depend of activ (left shift);rl7 k1 hgqs34 b vx m4 p ntn4w
RNbTxYjtlhgiWW8okEMzyjFENICS;r nb tx yjtlhgi w w8ok e mzyj;normal current amplitude in use dependence;normal current amplitud in use depend;normal current amplitude in use dependence@en-us;Normal current amplitud in use dependence@en-us
RDN1HidwTo5yxEolQVUN1i2FENICS;acceler or increas in rate of deactiv (tau deactivation);acceleration or increase in rate of deactivation (tau deactivation);acceleration or increase in rate of deactivation (tau deactivation)@en-us;Acceler or increas in rate of deactiv (tau deactivation)@en-us;r d n1 hidw to5yx eol q v u n1i2
